법정동,단지명,floor,지번,area,transaction_price,construction_year,위도,경도,가장 가까운 학교,school_distance,가장 가까운 역,subway_distance,가장 가까운 마트,mart_distance,construction_company,단지 고유번호,number_of_buildings,total_floors
인의동,효성쥬얼리시티,9,Feb-48,84.98,"86,500",2006,37.571498,126.9986561,서울효제초등학교,431,종로5가역 1호선,261,노브랜드 동대문두타몰점,939,효성건설,1.11101E+13,1,19
인의동,효성쥬얼리시티,8,Feb-48,106.81,"105,000",2006,37.571498,126.9986561,서울효제초등학교,431,종로5가역 1호선,261,노브랜드 동대문두타몰점,939,효성건설,1.11101E+13,1,19
익선동,현대뜨레비앙,7,55,43.98,"29,300",2003,37.5751303,126.990057,서울교동초등학교,168,종로3가역 5호선,283,,,현대건설,1.11101E+13,1,9
익선동,현대뜨레비앙,2,55,46.64,"29,000",2003,37.5751303,126.990057,서울교동초등학교,168,종로3가역 5호선,283,,,현대건설,1.11101E+13,1,9
익선동,현대뜨레비앙,4,55,48.54,"32,000",2003,37.5751303,126.990057,서울교동초등학교,168,종로3가역 5호선,283,,,현대건설,1.11101E+13,1,9
익선동,현대뜨레비앙,8,55,28.1,"22,500",2003,37.5751303,126.990057,서울교동초등학교,168,종로3가역 5호선,283,,,현대건설,1.11101E+13,1,9
연지동,하이텍하우스,4,Jan-36,16.17,"10,608",2011,37.5747243,126.9988895,홍익대학교 대학로캠퍼스,284,종로5가역 1호선,477,롯데슈퍼프레시 대학로점,838,알 수 없음,알 수 없음,알 수 없음,알 수 없음
연지동,하이텍하우스,4,Jan-36,16.17,"10,608",2011,37.5747243,126.9988895,홍익대학교 대학로캠퍼스,284,종로5가역 1호선,477,롯데슈퍼프레시 대학로점,838,알 수 없음,알 수 없음,알 수 없음,알 수 없음
연지동,하이텍하우스,6,Jan-36,114.05,"56,588",2011,37.5747243,126.9988895,홍익대학교 대학로캠퍼스,284,종로5가역 1호선,477,롯데슈퍼프레시 대학로점,838,알 수 없음,알 수 없음,알 수 없음,알 수 없음
연지동,하이텍하우스,6,Jan-36,31.68,"18,814",2011,37.5747243,126.9988895,홍익대학교 대학로캠퍼스,284,종로5가역 1호선,477,롯데슈퍼프레시 대학로점,838,알 수 없음,알 수 없음,알 수 없음,알 수 없음
연지동,하이텍하우스,5,Jan-36,15.79,"10,478",2011,37.5747243,126.9988895,홍익대학교 대학로캠퍼스,284,종로5가역 1호선,477,롯데슈퍼프레시 대학로점,838,알 수 없음,알 수 없음,알 수 없음,알 수 없음
연지동,하이텍하우스,5,Jan-36,16.17,"10,608",2011,37.5747243,126.9988895,홍익대학교 대학로캠퍼스,284,종로5가역 1호선,477,롯데슈퍼프레시 대학로점,838,알 수 없음,알 수 없음,알 수 없음,알 수 없음
연지동,하이텍하우스,5,Jan-36,16.17,"10,608",2011,37.5747243,126.9988895,홍익대학교 대학로캠퍼스,284,종로5가역 1호선,477,롯데슈퍼프레시 대학로점,838,알 수 없음,알 수 없음,알 수 없음,알 수 없음
연지동,하이텍하우스,5,Jan-36,21.37,"13,619",2011,37.5747243,126.9988895,홍익대학교 대학로캠퍼스,284,종로5가역 1호선,477,롯데슈퍼프레시 대학로점,838,알 수 없음,알 수 없음,알 수 없음,알 수 없음
연지동,하이텍하우스,5,Jan-36,17.9,"11,390",2011,37.5747243,126.9988895,홍익대학교 대학로캠퍼스,284,종로5가역 1호선,477,롯데슈퍼프레시 대학로점,838,알 수 없음,알 수 없음,알 수 없음,알 수 없음
연지동,하이텍하우스,5,Jan-36,16.17,"10,608",2011,37.5747243,126.9988895,홍익대학교 대학로캠퍼스,284,종로5가역 1호선,477,롯데슈퍼프레시 대학로점,838,알 수 없음,알 수 없음,알 수 없음,알 수 없음
연건동,이화에수풀,10,195-10,16.98,"19,300",2014,37.5754421,127.0018467,홍익대학교 대학로캠퍼스,113,종로5가역 1호선,496,롯데슈퍼프레시 대학로점,650,알 수 없음,1.11101E+13,1,13
연건동,이화에수풀,11,195-10,19.86,"23,500",2014,37.5754421,127.0018467,홍익대학교 대학로캠퍼스,113,종로5가역 1호선,496,롯데슈퍼프레시 대학로점,650,알 수 없음,1.11101E+13,1,13
연건동,이화에수풀,9,195-10,16.98,"19,000",2014,37.5754421,127.0018467,홍익대학교 대학로캠퍼스,113,종로5가역 1호선,496,롯데슈퍼프레시 대학로점,650,알 수 없음,1.11101E+13,1,13
신영동,구암하이빌,2,105-22,75.89,"30,000",2002,37.601922,126.962325,서울세검정초등학교,165,,,GS더프레시 종로구기점,644,알 수 없음,1.11101E+13,1,5
신영동,구암하이빌,1,105-22,84.94,"46,000",2002,37.601922,126.962325,서울세검정초등학교,165,,,GS더프레시 종로구기점,644,알 수 없음,1.11101E+13,1,5
신교동,신현(102동),5,06월 11일,134.66,"100,000",2002,37.583433,126.9681563,서울청운초등학교,298,경복궁역 3호선,977,서서울농협하나로마트 사직점,982,알 수 없음,1.11101E+13,1,5
신교동,신현(101동),1,06월 13일,84.82,"80,000",2002,37.5835875,126.9678595,서울청운초등학교,292,,,,,알 수 없음,1.11101E+13,1,5
숭인동,익성씨티하임,10,1392,14.48,"11,000",2013,37.5737233,127.0227299,서울장로회신학,114,신설동역 2호선,227,이마트 청계천점,276,알 수 없음,1.11101E+13,1,15
숭인동,익성씨티하임,10,1392,15.76,"11,300",2013,37.5737233,127.0227299,서울장로회신학,114,신설동역 2호선,227,이마트 청계천점,276,알 수 없음,1.11101E+13,1,15
숭인동,익성씨티하임,10,1392,15.76,"11,300",2013,37.5737233,127.0227299,서울장로회신학,114,신설동역 2호선,227,이마트 청계천점,276,알 수 없음,1.11101E+13,1,15
